SB;Observer;StartTime;description;duration;FreqChannels;DumpPeriod;NAnts;Ants;progress_report;archivelink;obsrep;QA1;VisFile;instructionSet
20180303-0089;Lindsay;2018-03-04T06:25:51Z;MKAIV-232 Baseline Calibration (Delay model calculation);799;4096;8;16;m000 m006 m008 m013 m034 m035 m036 m040 m041 m044 m047 m052 m057 m059 m060 m063;http://obs.mkat.karoo.kat.ac.za:8081/tailtask/20180303-0089/progress;http://kat-archive.kat.ac.za:8080/archive_search/#{"ei":"20180303-0089","so":true,"a":true,"b":true,"ob":false,"rs":{}};http://kat-archive.kat.ac.za/archive3/data/MeerKATAR1/reduction_products/1520145811/1520144751.h5_AR1_observation_report.pdf;-1;/var/kat/archive3/data/MeerKATAR1/telescope_products/2018/03/04/1520144751.h5;/home/kat/katsdpscripts/observation/track.py /home/kat/katsdpcatalogues/good_phase_Lband.csv --horizon=20 -t 128 -n off -m 36000 --repeat --description=MKAIV-232 Baseline Calibration (Delay model calculation) --proposal-id=MKAIV-232 --program-block-id=MKAIV-232 --issue-id=MKAIV-232 --sb-id-code=20180303-0089 --description=MKAIV-232 Baseline Calibration (Delay model calculation) --observer=Lindsay --config-label=b2bc6c8,3eb5965
20180304-0001;Lindsay;2018-03-04T06:52:19Z;MKAIV-232 Baseline Calibration (Delay model calculation);36080;4096;8;16;m006 m008 m013 m015 m034 m035 m036 m040 m041 m044 m047 m052 m057 m059 m060 m063;http://obs.mkat.karoo.kat.ac.za:8081/tailtask/20180304-0001/progress;http://kat-archive.kat.ac.za:8080/archive_search/#{"ei":"20180304-0001","so":true,"a":true,"b":true,"ob":false,"rs":{}};http://kat-archive.kat.ac.za/archive3/data/MeerKATAR1/reduction_products/1520190402/1520146339.h5_AR1_observation_report.pdf;0;/var/kat/archive3/data/MeerKATAR1/telescope_products/2018/03/04/1520146339.h5;/home/kat/katsdpscripts/observation/track.py /home/kat/katsdpcatalogues/good_phase_Lband.csv --horizon=20 -t 128 -n off -m 36000 --repeat --description=MKAIV-232 Baseline Calibration (Delay model calculation) --proposal-id=MKAIV-232 --program-block-id=MKAIV-232 --issue-id=MKAIV-232 --sb-id-code=20180304-0001 --description=MKAIV-232 Baseline Calibration (Delay model calculation) --observer=Lindsay --config-label=b2bc6c8,3eb5965
20180304-0003;BHugo;2018-03-04T08:05:08Z;MKAIV-584 Generic AR1 delaycal;231;4096;8;8;m002 m003 m004 m007 m009 m014 m016 m017;http://obs.mkat.karoo.kat.ac.za:8081/tailtask/20180304-0003/progress;http://kat-archive.kat.ac.za:8080/archive_search/#{"ei":"20180304-0003","so":true,"a":true,"b":true,"ob":false,"rs":{}};http://kat-archive.kat.ac.za/archive3/data/MeerKATAR1/reduction_products/1520151046/1520150707.h5_AR1_observation_report.pdf;1;/var/kat/archive3/data/MeerKATAR1/telescope_products/2018/03/04/1520150707.h5;/home/kat/katsdpscripts/observation/calibrate_delays.py /home/kat/katsdpcatalogues/three_calib.csv --horizon=15 -t 64 -n off --description=MKAIV-584 Generic AR1 delaycal --proposal-id=MKAIV-584 --program-block-id=MKAIV-584 --issue-id=MKAIV-584 --sb-id-code=20180304-0003 --description=MKAIV-584 Generic AR1 delaycal --observer=BHugo --config-label=b2bc6c8,3eb5965
20180304-0002;sarah;2018-03-04T08:13:13Z;MKAIV-405 Generic AR1 phaseup;167;4096;8;8;m002 m003 m004 m007 m009 m014 m016 m017;http://obs.mkat.karoo.kat.ac.za:8081/tailtask/20180304-0002/progress;http://kat-archive.kat.ac.za:8080/archive_search/#{"ei":"20180304-0002","so":true,"a":true,"b":true,"ob":false,"rs":{}};http://kat-archive.kat.ac.za/archive3/data/MeerKATAR1/reduction_products/1520151461/1520151193.h5_AR1_observation_report.pdf;1;/var/kat/archive3/data/MeerKATAR1/telescope_products/2018/03/04/1520151193.h5;/home/kat/katsdpscripts/observation/bf_phaseup.py -t 64 --horizon=20 -n off --proposal-id=MKAIV-330 --program-block-id=MKAIV-405 --issue-id=MKAIV-405 --sb-id-code=20180304-0002 --description=MKAIV-405 Generic AR1 phaseup --observer=sarah --config-label=b2bc6c8,3eb5965
20180304-0004;Lindsay;2018-03-04T08:16:40Z;MKAIV-308 Basic health;1727;4096;8;8;m002 m003 m004 m007 m009 m014 m016 m017;http://obs.mkat.karoo.kat.ac.za:8081/tailtask/20180304-0004/progress;http://kat-archive.kat.ac.za:8080/archive_search/#{"ei":"20180304-0004","so":true,"a":true,"b":true,"ob":false,"rs":{}};http://kat-archive.kat.ac.za/archive3/data/MeerKATAR1/reduction_products/1520153360/1520151400.h5_AR1_observation_report.pdf;0;/var/kat/archive3/data/MeerKATAR1/telescope_products/2018/03/04/1520151400.h5;/home/kat/katsdpscripts/observation/basic_health.py --description=MKAIV-308 Basic health --proposal-id=20170312LM-01 --program-block-id=41ob733529946 --issue-id=MKAIV-308 --sb-id-code=20180304-0004 --description=MKAIV-308 Basic health --observer=Lindsay --config-label=b2bc6c8,3eb5965
20180304-0020;BHugo;2018-03-04T17:33:41Z;MKAIV-584 Generic AR1 delaycal;271;4096;8;8;m008 m015 m029 m032 m034 m035 m036 m037;http://obs.mkat.karoo.kat.ac.za:8081/tailtask/20180304-0020/progress;http://kat-archive.kat.ac.za:8080/archive_search/#{"ei":"20180304-0020","so":true,"a":true,"b":true,"ob":false,"rs":{}};http://kat-archive.kat.ac.za/archive3/data/MeerKATAR1/reduction_products/1520190505/1520184821.h5_AR1_observation_report.pdf;1;/var/kat/archive3/data/MeerKATAR1/telescope_products/2018/03/04/1520184821.h5;/home/kat/katsdpscripts/observation/calibrate_delays.py /home/kat/katsdpcatalogues/three_calib.csv --horizon=15 -t 64 -n off --description=MKAIV-584 Generic AR1 delaycal --proposal-id=MKAIV-584 --program-block-id=MKAIV-584 --issue-id=MKAIV-584 --sb-id-code=20180304-0020 --description=MKAIV-584 Generic AR1 delaycal --observer=BHugo --config-label=b2bc6c8,3eb5965
20180304-0022;Lindsay;2018-03-04T17:40:26Z;MKAIV-449 Three calibrator Imaging;39607;4096;8;8;m008 m015 m029 m032 m034 m035 m036 m037;http://obs.mkat.karoo.kat.ac.za:8081/tailtask/20180304-0022/progress;http://kat-archive.kat.ac.za:8080/archive_search/#{"ei":"20180304-0022","so":true,"a":true,"b":true,"ob":false,"rs":{}};http://kat-archive.kat.ac.za/archive3/data/MeerKATAR1/reduction_products/1520226460/1520185226.h5_AR1_observation_report.pdf;0;/var/kat/archive3/data/MeerKATAR1/telescope_products/2018/03/04/1520185226.h5;/home/kat/katsdpscripts/observation/track.py /home/kat/katsdpcatalogues/three_calib.csv --horizon=15 -t 300 -n off -m 39600 --repeat --description=MKAIV-449 Three calibrator Imaging --proposal-id=20170313LM-01 --program-block-id=45ob742487746 --issue-id=MKAIV-449 --sb-id-code=20180304-0022 --description=MKAIV-449 Three calibrator Imaging --observer=Lindsay --config-label=b2bc6c8,3eb5965
20180304-0006;sarah;2018-03-05T04:32:12Z;MKAIV-405 Generic AR1 flatten phaseupfb;887;4096;8;16;m002 m003 m004 m006 m007 m009 m014 m016 m017 m021 m022 m023 m039 m043 m050 m055;http://obs.mkat.karoo.kat.ac.za:8081/tailtask/20180304-0006/progress;http://kat-archive.kat.ac.za:8080/archive_search/#{"ei":"20180304-0006","so":true,"a":true,"b":true,"ob":false,"rs":{}};http://kat-archive.kat.ac.za/archive3/data/MeerKATAR1/reduction_products/1520226678/1520224331.h5_AR1_observation_report.pdf;1;/var/kat/archive3/data/MeerKATAR1/telescope_products/2018/03/05/1520224331.h5;/home/kat/katsdpscripts/observation/bf_phaseup.py -t 600 --horizon=20 --flatten-bandpass -n off --proposal-id=MKAIV-330 --program-block-id=MKAIV-405 --issue-id=MKAIV-405 --sb-id-code=20180304-0006 --description=MKAIV-405 Generic AR1 flatten phaseupfb --observer=sarah --config-label=b2bc6c8,3eb5965
20180304-0007;sarah;2018-03-05T04:48:40Z;MKAIV-387: CBF J1141-6545;3614;4096;8;16;m002 m003 m004 m006 m007 m009 m014 m016 m017 m021 m022 m023 m039 m043 m050 m055;http://obs.mkat.karoo.kat.ac.za:8081/tailtask/20180304-0007/progress;http://kat-archive.kat.ac.za:8080/archive_search/#{"ei":"20180304-0007","so":true,"a":true,"b":true,"ob":false,"rs":{}};http://kat-archive.kat.ac.za/archive3/data/MeerKATAR1/reduction_products/1520229453/1520225316.h5_AR1_observation_report.pdf;0;/var/kat/archive3/data/MeerKATAR1/telescope_products/2018/03/05/1520225316.h5;/home/kat/katusescripts/ptuse/beamform_single_pulsar.py J1141-6545 -t 3600 -B 856 -F 1284 --horizon 20 --proposal-id=FST-TRNS --program-block-id=MKAIV-387 --issue-id=MKAIV-387 --sb-id-code=20180304-0007 --description=MKAIV-387: CBF J1141-6545 --observer=sarah --config-label=b2bc6c8,3eb5965
20180305-0002;Lindsay;2018-03-05T05:02:06Z;MKAIV-584 Generic AR1 delaycal;287;4096;8;8;m008 m015 m029 m031 m032 m034 m035 m063;http://obs.mkat.karoo.kat.ac.za:8081/tailtask/20180305-0002/progress;http://kat-archive.kat.ac.za:8080/archive_search/#{"ei":"20180305-0002","so":true,"a":true,"b":true,"ob":false,"rs":{}};http://kat-archive.kat.ac.za/archive3/data/MeerKATAR1/reduction_products/1520226776/1520226125.h5_AR1_observation_report.pdf;0;/var/kat/archive3/data/MeerKATAR1/telescope_products/2018/03/05/1520226125.h5;/home/kat/katsdpscripts/observation/calibrate_delays.py /home/kat/katsdpcatalogues/three_calib.csv --horizon=20 -t 64 -n off --description=MKAIV-584 Generic AR1 delaycal --proposal-id=MKAIV-584 --program-block-id=MKAIV-584 --issue-id=MKAIV-584 --sb-id-code=20180305-0002 --description=MKAIV-584 Generic AR1 delaycal --observer=Lindsay --config-label=56b38ae,b395331
20180305-0003;Lindsay;2018-03-05T05:07:29Z;MKAIV-449 Three calibrator Imaging;311;4096;8;8;m008 m015 m029 m031 m032 m034 m035 m063;http://obs.mkat.karoo.kat.ac.za:8081/tailtask/20180305-0003/progress;http://kat-archive.kat.ac.za:8080/archive_search/#{"ei":"20180305-0003","so":true,"a":true,"b":true,"ob":false,"rs":{}};http://kat-archive.kat.ac.za/archive3/data/MeerKATAR1/reduction_products/1520226867/1520226449.h5_AR1_observation_report.pdf; ;/var/kat/archive3/data/MeerKATAR1/telescope_products/2018/03/05/1520226449.h5;/home/kat/katsdpscripts/observation/track.py /home/kat/katsdpcatalogues/three_calib.csv --horizon=15 -t 300 -n off -m 300 --repeat --description=MKAIV-449 Three calibrator Imaging --proposal-id=20170313LM-01 --program-block-id=45ob742487746 --issue-id=MKAIV-449 --sb-id-code=20180305-0003 --description=MKAIV-449 Three calibrator Imaging --observer=Lindsay --config-label=56b38ae,b395331
20180305-0004;Lindsay;2018-03-05T05:13:46Z;MKAIV-449 Three calibrator Imaging;311;4096;8;8;m008 m015 m029 m031 m032 m034 m035 m063;http://obs.mkat.karoo.kat.ac.za:8081/tailtask/20180305-0004/progress;http://kat-archive.kat.ac.za:8080/archive_search/#{"ei":"20180305-0004","so":true,"a":true,"b":true,"ob":false,"rs":{}};http://kat-archive.kat.ac.za/archive3/data/MeerKATAR1/reduction_products/1520227233/1520226826.h5_AR1_observation_report.pdf;-1;/var/kat/archive3/data/MeerKATAR1/telescope_products/2018/03/05/1520226826.h5;/home/kat/katsdpscripts/observation/track.py /home/kat/katsdpcatalogues/three_calib.csv --horizon=15 -t 300 -n off -m 300 --repeat --description=MKAIV-449 Three calibrator Imaging --proposal-id=20170313LM-01 --program-block-id=45ob742487746 --issue-id=MKAIV-449 --sb-id-code=20180305-0004 --description=MKAIV-449 Three calibrator Imaging --observer=Lindsay --config-label=56b38ae,b395331
20180305-0001;BHugo;2018-03-05T05:19:36Z;MKAIV-584 Generic AR1 delaycal;167;4096;8;8;m008 m015 m029 m031 m032 m034 m035 m063;http://obs.mkat.karoo.kat.ac.za:8081/tailtask/20180305-0001/progress;http://kat-archive.kat.ac.za:8080/archive_search/#{"ei":"20180305-0001","so":true,"a":true,"b":true,"ob":false,"rs":{}};http://kat-archive.kat.ac.za/archive3/data/MeerKATAR1/reduction_products/1520227433/1520227175.h5_AR1_observation_report.pdf;-1;/var/kat/archive3/data/MeerKATAR1/telescope_products/2018/03/05/1520227175.h5;/home/kat/katsdpscripts/observation/calibrate_delays.py /home/kat/katsdpcatalogues/three_calib.csv --horizon=15 -t 64 -n off --description=MKAIV-584 Generic AR1 delaycal --proposal-id=MKAIV-584 --program-block-id=MKAIV-584 --issue-id=MKAIV-584 --sb-id-code=20180305-0001 --description=MKAIV-584 Generic AR1 delaycal --observer=BHugo --config-label=56b38ae,b395331
20180304-0008;sarah;2018-03-05T05:49:50Z;MKAIV-405 Generic AR1 flatten phaseupfb;327;4096;8;16;m002 m003 m004 m006 m007 m009 m014 m016 m017 m021 m022 m023 m039 m043 m050 m055;http://obs.mkat.karoo.kat.ac.za:8081/tailtask/20180304-0008/progress;http://kat-archive.kat.ac.za:8080/archive_search/#{"ei":"20180304-0008","so":true,"a":true,"b":true,"ob":false,"rs":{}};http://kat-archive.kat.ac.za/archive3/data/MeerKATAR1/reduction_products/1520229595/1520228988.h5_AR1_observation_report.pdf;-1;/var/kat/archive3/data/MeerKATAR1/telescope_products/2018/03/05/1520228988.h5;/home/kat/katsdpscripts/observation/bf_phaseup.py -t 600 --horizon=20 --flatten-bandpass -n off --proposal-id=MKAIV-330 --program-block-id=MKAIV-405 --issue-id=MKAIV-405 --sb-id-code=20180304-0008 --description=MKAIV-405 Generic AR1 flatten phaseupfb --observer=sarah --config-label=b2bc6c8,3eb5965
